main_address,rental_type
545 MAXWELL AV,Standard Rental
521 MAXWELL AV,Owner Occupied (1 Unit)
527 MAXWELL AVE,Standard Rental
603 MAXWELL AV,Standard Rental
607 MAXWELL AV,Standard Rental
721 CONCORD AVE,Detached Accessory Dwelling Unit
823 MAXWELL AV,Standard Rental
820 CONCORD AV,Standard Rental
422 ALPINE AV,Standard Rental
411 VALLEY VIEW DR,Standard Rental
2626 4TH ST,Standard Rental
403 DEWEY AV,Standard Rental
431 DEWEY AV,Standard Rental
445 DEWEY AV,Standard Rental
2680 5TH ST,Standard Rental
2670 6TH ST,Owner Accessory Unit
2660 6TH ST,Standard Rental
2610 6TH ST,Standard Rental
537 DEWEY AV,Standard Rental
535 DEWEY AV,Standard Rental
512 VALLEY VIEW DR,Short Term Rental
2625 6TH ST,Short Term Rental
2615 6TH ST,Standard Rental
503 DEWEY AV,Short Term Rental
2566 6TH ST,Accessory Dwelling Unit
2530 6TH ST,Standard Rental
623 MAXWELL AVE,Standard Rental
651 MAXWELL AVE,Standard Rental
2515 7TH ST,Standard Rental
653 CONCORD AV,Standard Rental
623 CONCORD AV,Owner Occupied (1 Unit)
735 CONCORD AV,Standard Rental
711 CONCORD AVE,Standard Rental
730 CONCORD AV,Standard Rental
720 CONCORD AV,Standard Rental
710 CONCORD AV,Standard Rental
705 MAXWELL AV,Standard Rental
908 ALPINE AV,Standard Rental
906 ALPINE AV,Standard Rental
2650 9TH ST,Standard Rental
2600 9TH ST,Standard Rental
2653 9TH ST,Standard Rental
808 ALPINE AV,Standard Rental and Short Term Rental
804 ALPINE AV,Owner Accessory Unit
780 ALPINE AVE,Standard Rental
760 ALPINE AVE,Standard Rental
740 ALPINE AV,Owner Occupied (1 Unit)
730 ALPINE AV,Standard Rental
602 ALPINE AV,Relative Occupied (1 Unit)
613 NORTH ST,Standard Rental
619 NORTH ST A,Standard Rental
637 NORTH ST,Standard Rental
645 NORTH ST,Owner Occupied (1 Unit)
655 NORTH ST,Standard Rental
805 NORTH ST,Owner Occupied (1 Unit)
815 NORTH ST,Owner Accessory Unit
825 NORTH ST,Standard Rental
827 NORTH ST,Standard Rental
2651 9TH ST,Standard Rental
840 NORTH ST,Standard Rental
826 NORTH ST,Standard Rental
810 NORTH ST,Standard Rental
750 NORTH ST,Standard Rental
730 NORTH ST,Standard Rental
700 NORTH ST,Standard Rental
650 NORTH ST,Standard Rental
640 NORTH ST,Standard Rental
630 NORTH ST,Standard Rental
603 DEWEY AV,Standard Rental
611 DEWEY AV,Owner Occupied Dwelling Unit & Short Term OAU
615 DEWEY AVE,Standard Rental
820 NORTH ST,Standard Rental
645 DEWEY AV,Standard Rental
653 DEWEY AVE,Standard Rental
805 DEWEY AVE,Standard Rental
815 DEWEY AV,Standard Rental
825 DEWEY AV,Standard Rental
2529 9TH ST,Standard Rental
2531 9TH ST,Standard Rental
620 NORTH ST,Owner Accessory Unit
920 NORTH ST,Standard Rental
2550 9TH ST,Standard Rental
2530 9TH ST,Standard Rental
1009 PORTLAND PL,Short Term Rental
911 PORTLAND PL,Standard Rental
2507 9TH ST,Standard Rental
836 DEWEY AV,Standard Rental
834 DEWEY AV,Standard Rental
830 DEWEY AV,Standard Rental
652 DEWEY AV,Standard Rental
648 DEWEY AVE,Standard Rental
606 DEWEY AVE,Standard Rental
970 NORTH ST,Standard Rental
2536 10TH ST,Standard Rental
2530 10TH ST,Standard Rental
1133 PORTLAND PL,Owner Fee Exempt
2520 10TH ST,Standard Rental
1109 PORTLAND PL,Standard Rental
1119 PORTLAND PL,Owner Accessory Unit
2944 10TH ST,Short Term Rental
2921 11TH ST,Standard Rental
1107 CEDAR AV,Accessory Dwelling Unit
1111 CEDAR AV,Standard Rental
2927 BROADWAY,Standard Rental
2931 BROADWAY,Standard Rental
2935 BROADWAY,Standard Rental
2961 BROADWAY,Standard Rental
2949 BROADWAY,Standard Rental
2940 9TH ST,Standard Rental
2939 10TH ST,Standard Rental
2951 10TH ST,Standard Rental
2840 9TH ST,Standard Rental
2824 9TH ST,Standard Rental
2821 10TH ST,Standard Rental
875 ALPINE AV,Standard Rental
2958 7TH ST,Standard Rental
2938 7TH ST,Standard Rental
711 ALPINE AV,Standard Rental
2725 8TH ST,Standard Rental
635 ALPINE AV,Standard Rental
2969 7TH ST,Short Term Rental
2918 5TH ST,Short Term Rental
2910 5TH ST,Standard Rental
2953 6TH ST,Standard Rental
2720 5TH ST,Standard Rental
2710 5TH ST,Standard Rental
533 ALPINE AV,Standard Rental
2720 4TH ST,Attached Accessory Dwelling Unit
2710 4TH ST,Standard Rental
401 ALPINE AV,Standard Rental
415 ALPINE AV,Standard Rental
2860 4TH ST,Short Term Rental
2845 5TH ST,Standard Rental
2932 4TH ST,Standard Rental
2922 4TH ST,Standard Rental
2904 4TH ST,Standard Rental
2929 5TH ST,Standard Rental
2933 5TH ST,Owner Occupied Dwelling Unit & Short Term ADU
2854 11TH ST,Standard Rental
2826 11TH ST,Short Term Rental
2802 11TH ST,Standard Rental
2845 BROADWAY,Standard Rental
2825 11TH ST,Accessory Dwelling Unit
2839 11TH ST,Short Term Rental
1013 PORTLAND PL,Standard Rental
2943 BROADWAY  A,Standard Rental
2947 BROADWAY  B,Standard Rental
2945 BROADWAY  C,Short Term Rental
827 MAXWELL AVE A,Standard Rental
827 MAXWELL AV C,Standard Rental
827 MAXWELL AV E,Standard Rental
827 MAXWELL AV G,Standard Rental
827 MAXWELL AV H,Standard Rental
827 MAXWELL AV I,Standard Rental
827 MAXWELL AV K,Standard Rental
827 MAXWELL AVE L,Standard Rental
827 MAXWELL AV M,Standard Rental
2705 6TH ST,Standard Rental
619 ALPINE AV,Short Term Rental
615 ALPINE AV,Standard Rental
601 ALPINE AV,Standard Rental
2810 6TH ST,Standard Rental
2820 6TH ST,Standard Rental
2865 7TH ST,Standard Rental
2835 7TH ST,Standard Rental
2825 7TH ST,Standard Rental
2775 7TH ST,Short Term Rental
2735 7TH ST,Short Term Rental
2740 7TH ST,Accessory Dwelling Unit
2840 7TH ST,Standard Rental
815 ALPINE AV 1,Standard Rental
815 ALPINE AV 2,Standard Rental
815 ALPINE AV 3,Standard Rental
815 ALPINE AV 4,Standard Rental
815 ALPINE AV 5,Standard Rental
815 ALPINE AV 7,Standard Rental
815 MAXWELL AV 1,Standard Rental
815 MAXWELL AVE 2,Standard Rental
1039 MAXWELL AVE 2,Standard Rental
1039 MAXWELL AVE 3,Standard Rental
1039 MAXWELL AVE 5,Standard Rental
1039 MAXWELL AVE 6,Standard Rental
1039 MAXWELL AV 8,Standard Rental
1125 PORTLAND PL 1,Standard Rental
